id,numb_dem_votes,numb_rep_votes,numb_ind_Votes,numb_tot_votes,seat_make_up,contested,numb_tot_seates,numb_dem_cand,numb_rep_cand,numb_ind_cand,numb_dem_waste,numb_rep_waste,numb_dem_waste2,numb_rep_waste2,dem_eff_gap,dem_eff_gap2,rep_eff_gap,rep_eff_gap2,numb_dem_surplus,numb_rep_surplus
Rockingham No. 1,701,965,0,1666,(1/1),TRUE,1,1,1,0,-132,132,0,132,0,-7.92316926770708,7.92316926770708,7.92316926770708,-264,264
Rockingham No. 2,5900,8973,0,14873,(3/3),TRUE,1,3,3,0,-1536.5,1536.5,0,1536.5,0,-10.3308007799368,10.3308007799368,10.3308007799368,-3073,3073
Rockingham No. 3,0,5993,126,6119,(3/3),FALSE,3,0,3,0,-3059.5,2933.5,0,2933.5,0,-50,47.940840006537,47.940840006537,-5993,5993
Rockingham No. 4,4426,18873,13,23312,(5/5),TRUE,5,2,5,0,-7230,7217,0,7217,0,-31.0140700068634,30.9583047357584,30.9583047357584,-14447,14447
Rockingham No. 5,19323,32879,50,52252,(7/7),TRUE,7,7,7,0,-6803,6753,0,6753,0,-13.0195973359871,12.9239072188624,12.9239072188624,-13556,13556
Rockingham No. 6,14481,26491,0,40972,(10/10),TRUE,10,4,10,0,-6005,6005,0,6005,0,-14.6563506785122,14.6563506785122,14.6563506785122,-12010,12010
Rockingham No. 7,4261,13708,1370,19339,(4/4),TRUE,4,3,4,1,-5408.5,4038.5,0,4038.5,0,-27.9668028336522,20.882672320182,20.882672320182,-9447,9447
Rockingham No. 8,19909,45373,51,65333,(9/9),TRUE,9,7,9,0,-12757.5,12706.5,0,12706.5,0,-19.5268853412517,19.4488237184884,19.4488237184884,-25464,25464
Rockingham No. 9,1901,2435,6,4342,(2/2),TRUE,2,2,2,0,-270,264,0,264,0,-6.21833256563795,6.08014739751267,6.08014739751267,-534,534
Rockingham No. 10,0,1218,35,1253,(1/1),FALSE,1,0,1,0,-626.5,591.5,0,591.5,0,-50,47.2067039106145,47.2067039106145,-1218,1218
Rockingham No. 11,0,1224,19,1243,(1/1),FALSE,1,0,1,0,-621.5,602.5,0,602.5,0,-50,48.4714400643604,48.4714400643604,-1224,1224
Rockingham No. 12,466,1043,6,1515,(1/1),TRUE,1,1,1,0,-291.5,285.5,0,285.5,0,-19.2409240924092,18.8448844884488,18.8448844884488,-577,577
Rockingham No. 13,6955,13932,6,20893,(4/4),TRUE,4,4,4,0,-3491.5,3485.5,0,3485.5,0,-16.7113387258891,16.6826209735318,16.6826209735318,-6977,6977
Rockingham No. 14,6733,13468,3,20204,(4/4),TRUE,4,4,4,0,-3369,3366,0,3366,0,-16.6749158582459,16.6600673134033,16.6600673134033,-6735,6735
Rockingham No. 15,0,1253,25,1278,(1/1),FALSE,1,0,1,0,-639,614,0,614,0,-50,48.0438184663537,48.0438184663537,-1253,1253
Rockingham No. 16,899,1557,1,2457,(1/1),TRUE,1,1,1,0,-329.5,328.5,0,328.5,0,-13.4106634106634,13.3699633699634,13.3699633699634,-658,658
Rockingham No. 17,6011,3741,2,9754,(1/3),TRUE,3,3,2,0,1134,-1136,1134,0,11.6259995899118,11.6259995899118,0,-11.6465039983596,2270,-2270
Rockingham No. 18,13125,9661,0,22786,(0/4),TRUE,4,4,4,0,1732,-1732,1732,0,7.60115860616168,7.60115860616168,0,-7.60115860616168,3464,-3464
Rockingham No. 19,3149,3649,0,6798,(2/2),TRUE,2,2,2,0,-250,250,0,250,0,-3.67755222124154,3.67755222124154,3.67755222124154,-500,500
Rockingham No. 20,2699,5621,7,8327,(3/3),TRUE,3,2,3,0,-1464.5,1457.5,0,1457.5,0,-17.5873663984628,17.5033025099075,17.5033025099075,-2922,2922
Rockingham No. 21,10788,13339,45,24172,(3/4),TRUE,4,4,4,0,-1298,1253,0,1253,0,-5.36984941254344,5.1836836008605,5.1836836008605,-2551,2551
Rockingham No. 22,893,1290,1,2184,(1/1),TRUE,1,1,1,0,-199,198,0,198,0,-9.11172161172161,9.06593406593407,9.06593406593407,-397,397
